,model_id,dataset,cfg_scale,precision,recall,coverage,density,vqascore
0,Iter. 600k,coco_txt_dataset,7.5,0.605919233807267,0.2423232622432859,0.470156990521327,0.8320086229594523,0.7617769518912745
1,Iter. 550k,coco_txt_dataset,7.5,0.6199150868878357,0.2393364928909953,0.4876086097946288,0.8717252501316481,0.7680484208860986
2,Iter. 450k,coco_txt_dataset,7.5,0.6266538309636651,0.2256368483412322,0.4904472748815165,0.8940067140600316,0.766983994069446
3,Iter. 350k,coco_txt_dataset,7.5,0.6397857424960506,0.2265995260663507,0.5030608214849921,0.9505989994734072,0.7515431396393945
4,Iter. 250k,coco_txt_dataset,7.5,0.6552626382306477,0.217589849921011,0.5017031990521327,1.0154439836756186,0.7302284741510842
5,Iter. 150k,coco_txt_dataset,7.5,0.6340343601895735,0.2073953396524486,0.4756615323854661,0.9275605581885202,0.6841461244819018
